"","Linear","Lasso","RF"
"NONINV","0.44 (0.39,0.49)","0.45 (0.38,0.52)","0.47 (0.44,0.5)"
"PREOP","0.44 (0.39,0.49)","0.46 (0.4,0.52)","0.46 (0.43,0.49)"
"DISCHARGE","0.46 (0.41,0.51)","0.48 (0.43,0.54)","0.48 (0.45,0.51)"
"ALL","0.59 (0.54,0.63)","0.62 (0.57,0.67)","0.61 (0.58,0.63)"
