"","Linear","Lasso","RF"
"NONINV","0.68 (0.63,0.74)","0.73 (0.68,0.77)","0.82 (0.78,0.86)"
"PREOP","0.68 (0.62,0.74)","0.72 (0.67,0.77)","0.81 (0.76,0.85)"
"DISCHARGE","0.69 (0.63,0.74)","0.75 (0.71,0.8)","0.87 (0.83,0.91)"
"ALL","0.72 (0.66,0.78)","0.79 (0.75,0.84)","0.98 (0.98,0.99)"
