"","Linear","Lasso","RF"
"NONINV","0.69 (0.63,0.75)","0.7 (0.65,0.75)","0.82 (0.79,0.86)"
"PREOP","0.68 (0.63,0.74)","0.7 (0.65,0.75)","0.8 (0.76,0.84)"
"DISCHARGE","0.7 (0.65,0.76)","0.73 (0.68,0.78)","0.86 (0.81,0.9)"
"ALL","0.75 (0.7,0.81)","0.77 (0.72,0.82)","0.98 (0.98,0.99)"
