"","Linear","Lasso","RF"
"NONINV","0.452 (0.505,0.399)","0.456 (0.514,0.397)","0.485 (0.512,0.459)"
"PREOP","0.458 (0.511,0.405)","0.466 (0.509,0.423)","0.465 (0.501,0.429)"
"DISCHARGE","0.474 (0.532,0.416)","0.483 (0.533,0.433)","0.49 (0.519,0.461)"
"ALL","0.592 (0.642,0.542)","0.601 (0.647,0.555)","0.603 (0.631,0.576)"
