"","Linear","Lasso","RF"
"NONINV","0.7 (0.65,0.75)","0.71 (0.67,0.74)","0.76 (0.73,0.78)"
"PREOP","0.7 (0.67,0.73)","0.7 (0.66,0.74)","0.76 (0.74,0.78)"
"DISCHARGE","0.71 (0.67,0.75)","0.72 (0.69,0.75)","0.79 (0.77,0.81)"
"ALL","0.72 (0.68,0.76)","0.73 (0.7,0.77)","0.86 (0.85,0.88)"
